ticker,ticker_yfinance,sector,window_id,indicator,variant,volume_label,use_volume_filter,volume_ma_window,volume_multiplier,signal_column,in_sample_start,in_sample_end,out_sample_start,out_sample_end,total_active_signals,correct_signals,directional_accuracy,hit_rate
SUNI,SUNI.JK,Industri,1,MA Crossover,SMA10/SMA50 | Volume >= 1.0 x VolMA20,Volume >= 1.0 x VolMA20,True,20.0,1.0,MA10_50_VOLMA20_1p0_Signal,2024-10-21,2025-04-20,2025-04-21,2025-07-21,2,1,50.0,50.0
SUNI,SUNI.JK,Industri,1,MA Crossover,SMA10/SMA50 | Volume >= 0.8 x VolMA10,Volume >= 0.8 x VolMA10,True,10.0,0.8,MA10_50_VOLMA10_0p8_Signal,2024-10-21,2025-04-20,2025-04-21,2025-07-21,2,1,50.0,50.0
SUNI,SUNI.JK,Industri,1,MA Crossover,SMA10/SMA50 | Volume >= 0.9 x VolMA10,Volume >= 0.9 x VolMA10,True,10.0,0.9,MA10_50_VOLMA10_0p9_Signal,2024-10-21,2025-04-20,2025-04-21,2025-07-21,1,0,0.0,0.0
SUNI,SUNI.JK,Industri,1,MA Crossover,SMA10/SMA50 | Volume >= 1.0 x VolMA10,Volume >= 1.0 x VolMA10,True,10.0,1.0,MA10_50_VOLMA10_1p0_Signal,2024-10-21,2025-04-20,2025-04-21,2025-07-21,1,0,0.0,0.0
SUNI,SUNI.JK,Industri,2,MA Crossover,SMA10/SMA50 | No Volume Filter,No Volume Filter,False,,,MA10_50_NOVOL_Signal,2025-01-21,2025-07-20,2025-07-21,2025-10-21,2,2,100.0,100.0
SUNI,SUNI.JK,Industri,2,MA Crossover,SMA10/SMA50 | Volume >= 0.8 x VolMA20,Volume >= 0.8 x VolMA20,True,20.0,0.8,MA10_50_VOLMA20_0p8_Signal,2025-01-21,2025-07-20,2025-07-21,2025-10-21,0,0,0.0,0.0
SUNI,SUNI.JK,Industri,2,MA Crossover,SMA10/SMA50 | Volume >= 0.9 x VolMA20,Volume >= 0.9 x VolMA20,True,20.0,0.9,MA10_50_VOLMA20_0p9_Signal,2025-01-21,2025-07-20,2025-07-21,2025-10-21,0,0,0.0,0.0
SUNI,SUNI.JK,Industri,2,MA Crossover,SMA10/SMA50 | Volume >= 1.0 x VolMA20,Volume >= 1.0 x VolMA20,True,20.0,1.0,MA10_50_VOLMA20_1p0_Signal,2025-01-21,2025-07-20,2025-07-21,2025-10-21,0,0,0.0,0.0
SUNI,SUNI.JK,Industri,2,MA Crossover,SMA10/SMA50 | Volume >= 0.8 x VolMA10,Volume >= 0.8 x VolMA10,True,10.0,0.8,MA10_50_VOLMA10_0p8_Signal,2025-01-21,2025-07-20,2025-07-21,2025-10-21,0,0,0.0,0.0
SUNI,SUNI.JK,Industri,2,MA Crossover,SMA10/SMA50 | Volume >= 0.9 x VolMA10,Volume >= 0.9 x VolMA10,True,10.0,0.9,MA10_50_VOLMA10_0p9_Signal,2025-01-21,2025-07-20,2025-07-21,2025-10-21,0,0,0.0,0.0
SUNI,SUNI.JK,Industri,2,MA Crossover,SMA10/SMA50 | Volume >= 1.0 x VolMA10,Volume >= 1.0 x VolMA10,True,10.0,1.0,MA10_50_VOLMA10_1p0_Signal,2025-01-21,2025-07-20,2025-07-21,2025-10-21,0,0,0.0,0.0
SUNI,SUNI.JK,Industri,3,MA Crossover,SMA10/SMA50 | No Volume Filter,No Volume Filter,False,,,MA10_50_NOVOL_Signal,2025-04-21,2025-10-20,2025-10-21,2026-01-21,2,1,50.0,50.0
SUNI,SUNI.JK,Industri,3,MA Crossover,SMA10/SMA50 | Volume >= 0.8 x VolMA20,Volume >= 0.8 x VolMA20,True,20.0,0.8,MA10_50_VOLMA20_0p8_Signal,2025-04-21,2025-10-20,2025-10-21,2026-01-21,1,1,100.0,100.0
SUNI,SUNI.JK,Industri,3,MA Crossover,SMA10/SMA50 | Volume >= 0.9 x VolMA20,Volume >= 0.9 x VolMA20,True,20.0,0.9,MA10_50_VOLMA20_0p9_Signal,2025-04-21,2025-10-20,2025-10-21,2026-01-21,1,1,100.0,100.0
SUNI,SUNI.JK,Industri,3,MA Crossover,SMA10/SMA50 | Volume >= 1.0 x VolMA20,Volume >= 1.0 x VolMA20,True,20.0,1.0,MA10_50_VOLMA20_1p0_Signal,2025-04-21,2025-10-20,2025-10-21,2026-01-21,1,1,100.0,100.0
SUNI,SUNI.JK,Industri,3,MA Crossover,SMA10/SMA50 | Volume >= 0.8 x VolMA10,Volume >= 0.8 x VolMA10,True,10.0,0.8,MA10_50_VOLMA10_0p8_Signal,2025-04-21,2025-10-20,2025-10-21,2026-01-21,1,1,100.0,100.0
SUNI,SUNI.JK,Industri,3,MA Crossover,SMA10/SMA50 | Volume >= 0.9 x VolMA10,Volume >= 0.9 x VolMA10,True,10.0,0.9,MA10_50_VOLMA10_0p9_Signal,2025-04-21,2025-10-20,2025-10-21,2026-01-21,1,1,100.0,100.0
SUNI,SUNI.JK,Industri,3,MA Crossover,SMA10/SMA50 | Volume >= 1.0 x VolMA10,Volume >= 1.0 x VolMA10,True,10.0,1.0,MA10_50_VOLMA10_1p0_Signal,2025-04-21,2025-10-20,2025-10-21,2026-01-21,1,1,100.0,100.0
SUNI,SUNI.JK,Industri,4,MA Crossover,SMA10/SMA50 | No Volume Filter,No Volume Filter,False,,,MA10_50_NOVOL_Signal,2025-07-21,2026-01-20,2026-01-21,2026-04-21,3,1,33.33333333333333,33.33333333333333
SUNI,SUNI.JK,Industri,4,MA Crossover,SMA10/SMA50 | Volume >= 0.8 x VolMA20,Volume >= 0.8 x VolMA20,True,20.0,0.8,MA10_50_VOLMA20_0p8_Signal,2025-07-21,2026-01-20,2026-01-21,2026-04-21,2,1,50.0,50.0
SUNI,SUNI.JK,Industri,4,MA Crossover,SMA10/SMA50 | Volume >= 0.9 x VolMA20,Volume >= 0.9 x VolMA20,True,20.0,0.9,MA10_50_VOLMA20_0p9_Signal,2025-07-21,2026-01-20,2026-01-21,2026-04-21,1,0,0.0,0.0
SUNI,SUNI.JK,Industri,4,MA Crossover,SMA10/SMA50 | Volume >= 1.0 x VolMA20,Volume >= 1.0 x VolMA20,True,20.0,1.0,MA10_50_VOLMA20_1p0_Signal,2025-07-21,2026-01-20,2026-01-21,2026-04-21,0,0,0.0,0.0
SUNI,SUNI.JK,Industri,4,MA Crossover,SMA10/SMA50 | Volume >= 0.8 x VolMA10,Volume >= 0.8 x VolMA10,True,10.0,0.8,MA10_50_VOLMA10_0p8_Signal,2025-07-21,2026-01-20,2026-01-21,2026-04-21,2,1,50.0,50.0
SUNI,SUNI.JK,Industri,4,MA Crossover,SMA10/SMA50 | Volume >= 0.9 x VolMA10,Volume >= 0.9 x VolMA10,True,10.0,0.9,MA10_50_VOLMA10_0p9_Signal,2025-07-21,2026-01-20,2026-01-21,2026-04-21,1,0,0.0,0.0
SUNI,SUNI.JK,Industri,4,MA Crossover,SMA10/SMA50 | Volume >= 1.0 x VolMA10,Volume >= 1.0 x VolMA10,True,10.0,1.0,MA10_50_VOLMA10_1p0_Signal,2025-07-21,2026-01-20,2026-01-21,2026-04-21,1,0,0.0,0.0
JTPE,JTPE.JK,Industri,1,MA Crossover,SMA10/SMA50 | No Volume Filter,No Volume Filter,False,,,MA10_50_NOVOL_Signal,2024-10-21,2025-04-20,2025-04-21,2025-07-21,1,0,0.0,0.0
JTPE,JTPE.JK,Industri,1,MA Crossover,SMA10/SMA50 | Volume >= 0.8 x VolMA20,Volume >= 0.8 x VolMA20,True,20.0,0.8,MA10_50_VOLMA20_0p8_Signal,2024-10-21,2025-04-20,2025-04-21,2025-07-21,1,0,0.0,0.0
JTPE,JTPE.JK,Industri,1,MA Crossover,SMA10/SMA50 | Volume >= 0.9 x VolMA20,Volume >= 0.9 x VolMA20,True,20.0,0.9,MA10_50_VOLMA20_0p9_Signal,2024-10-21,2025-04-20,2025-04-21,2025-07-21,1,0,0.0,0.0
JTPE,JTPE.JK,Industri,1,MA Crossover,SMA10/SMA50 | Volume >= 1.0 x VolMA20,Volume >= 1.0 x VolMA20,True,20.0,1.0,MA10_50_VOLMA20_1p0_Signal,2024-10-21,2025-04-20,2025-04-21,2025-07-21,1,0,0.0,0.0
JTPE,JTPE.JK,Industri,1,MA Crossover,SMA10/SMA50 | Volume >= 0.8 x VolMA10,Volume >= 0.8 x VolMA10,True,10.0,0.8,MA10_50_VOLMA10_0p8_Signal,2024-10-21,2025-04-20,2025-04-21,2025-07-21,1,0,0.0,0.0
JTPE,JTPE.JK,Industri,1,MA Crossover,SMA10/SMA50 | Volume >= 0.9 x VolMA10,Volume >= 0.9 x VolMA10,True,10.0,0.9,MA10_50_VOLMA10_0p9_Signal,2024-10-21,2025-04-20,2025-04-21,2025-07-21,0,0,0.0,0.0
JTPE,JTPE.JK,Industri,1,MA Crossover,SMA10/SMA50 | Volume >= 1.0 x VolMA10,Volume >= 1.0 x VolMA10,True,10.0,1.0,MA10_50_VOLMA10_1p0_Signal,2024-10-21,2025-04-20,2025-04-21,2025-07-21,0,0,0.0,0.0
JTPE,JTPE.JK,Industri,2,MA Crossover,SMA10/SMA50 | No Volume Filter,No Volume Filter,False,,,MA10_50_NOVOL_Signal,2025-01-21,2025-07-20,2025-07-21,2025-10-21,0,0,0.0,0.0
JTPE,JTPE.JK,Industri,2,MA Crossover,SMA10/SMA50 | Volume >= 0.8 x VolMA20,Volume >= 0.8 x VolMA20,True,20.0,0.8,MA10_50_VOLMA20_0p8_Signal,2025-01-21,2025-07-20,2025-07-21,2025-10-21,0,0,0.0,0.0
JTPE,JTPE.JK,Industri,2,MA Crossover,SMA10/SMA50 | Volume >= 0.9 x VolMA20,Volume >= 0.9 x VolMA20,True,20.0,0.9,MA10_50_VOLMA20_0p9_Signal,2025-01-21,2025-07-20,2025-07-21,2025-10-21,0,0,0.0,0.0
JTPE,JTPE.JK,Industri,2,MA Crossover,SMA10/SMA50 | Volume >= 1.0 x VolMA20,Volume >= 1.0 x VolMA20,True,20.0,1.0,MA10_50_VOLMA20_1p0_Signal,2025-01-21,2025-07-20,2025-07-21,2025-10-21,0,0,0.0,0.0
JTPE,JTPE.JK,Industri,2,MA Crossover,SMA10/SMA50 | Volume >= 0.8 x VolMA10,Volume >= 0.8 x VolMA10,True,10.0,0.8,MA10_50_VOLMA10_0p8_Signal,2025-01-21,2025-07-20,2025-07-21,2025-10-21,0,0,0.0,0.0
JTPE,JTPE.JK,Industri,2,MA Crossover,SMA10/SMA50 | Volume >= 0.9 x VolMA10,Volume >= 0.9 x VolMA10,True,10.0,0.9,MA10_50_VOLMA10_0p9_Signal,2025-01-21,2025-07-20,2025-07-21,2025-10-21,0,0,0.0,0.0
JTPE,JTPE.JK,Industri,2,MA Crossover,SMA10/SMA50 | Volume >= 1.0 x VolMA10,Volume >= 1.0 x VolMA10,True,10.0,1.0,MA10_50_VOLMA10_1p0_Signal,2025-01-21,2025-07-20,2025-07-21,2025-10-21,0,0,0.0,0.0
JTPE,JTPE.JK,Industri,3,MA Crossover,SMA10/SMA50 | No Volume Filter,No Volume Filter,False,,,MA10_50_NOVOL_Signal,2025-04-21,2025-10-20,2025-10-21,2026-01-21,0,0,0.0,0.0
JTPE,JTPE.JK,Industri,3,MA Crossover,SMA10/SMA50 | Volume >= 0.8 x VolMA20,Volume >= 0.8 x VolMA20,True,20.0,0.8,MA10_50_VOLMA20_0p8_Signal,2025-04-21,2025-10-20,2025-10-21,2026-01-21,0,0,0.0,0.0
JTPE,JTPE.JK,Industri,3,MA Crossover,SMA10/SMA50 | Volume >= 0.9 x VolMA20,Volume >= 0.9 x VolMA20,True,20.0,0.9,MA10_50_VOLMA20_0p9_Signal,2025-04-21,2025-10-20,2025-10-21,2026-01-21,0,0,0.0,0.0
JTPE,JTPE.JK,Industri,3,MA Crossover,SMA10/SMA50 | Volume >= 1.0 x VolMA20,Volume >= 1.0 x VolMA20,True,20.0,1.0,MA10_50_VOLMA20_1p0_Signal,2025-04-21,2025-10-20,2025-10-21,2026-01-21,0,0,0.0,0.0
JTPE,JTPE.JK,Industri,3,MA Crossover,SMA10/SMA50 | Volume >= 0.8 x VolMA10,Volume >= 0.8 x VolMA10,True,10.0,0.8,MA10_50_VOLMA10_0p8_Signal,2025-04-21,2025-10-20,2025-10-21,2026-01-21,0,0,0.0,0.0
JTPE,JTPE.JK,Industri,3,MA Crossover,SMA10/SMA50 | Volume >= 0.9 x VolMA10,Volume >= 0.9 x VolMA10,True,10.0,0.9,MA10_50_VOLMA10_0p9_Signal,2025-04-21,2025-10-20,2025-10-21,2026-01-21,0,0,0.0,0.0
JTPE,JTPE.JK,Industri,3,MA Crossover,SMA10/SMA50 | Volume >= 1.0 x VolMA10,Volume >= 1.0 x VolMA10,True,10.0,1.0,MA10_50_VOLMA10_1p0_Signal,2025-04-21,2025-10-20,2025-10-21,2026-01-21,0,0,0.0,0.0
JTPE,JTPE.JK,Industri,4,MA Crossover,SMA10/SMA50 | No Volume Filter,No Volume Filter,False,,,MA10_50_NOVOL_Signal,2025-07-21,2026-01-20,2026-01-21,2026-04-21,2,0,0.0,0.0
JTPE,JTPE.JK,Industri,4,MA Crossover,SMA10/SMA50 | Volume >= 0.8 x VolMA20,Volume >= 0.8 x VolMA20,True,20.0,0.8,MA10_50_VOLMA20_0p8_Signal,2025-07-21,2026-01-20,2026-01-21,2026-04-21,1,0,0.0,0.0
JTPE,JTPE.JK,Industri,4,MA Crossover,SMA10/SMA50 | Volume >= 0.9 x VolMA20,Volume >= 0.9 x VolMA20,True,20.0,0.9,MA10_50_VOLMA20_0p9_Signal,2025-07-21,2026-01-20,2026-01-21,2026-04-21,1,0,0.0,0.0
JTPE,JTPE.JK,Industri,4,MA Crossover,SMA10/SMA50 | Volume >= 1.0 x VolMA20,Volume >= 1.0 x VolMA20,True,20.0,1.0,MA10_50_VOLMA20_1p0_Signal,2025-07-21,2026-01-20,2026-01-21,2026-04-21,1,0,0.0,0.0
JTPE,JTPE.JK,Industri,4,MA Crossover,SMA10/SMA50 | Volume >= 0.8 x VolMA10,Volume >= 0.8 x VolMA10,True,10.0,0.8,MA10_50_VOLMA10_0p8_Signal,2025-07-21,2026-01-20,2026-01-21,2026-04-21,1,0,0.0,0.0
JTPE,JTPE.JK,Industri,4,MA Crossover,SMA10/SMA50 | Volume >= 0.9 x VolMA10,Volume >= 0.9 x VolMA10,True,10.0,0.9,MA10_50_VOLMA10_0p9_Signal,2025-07-21,2026-01-20,2026-01-21,2026-04-21,1,0,0.0,0.0
JTPE,JTPE.JK,Industri,4,MA Crossover,SMA10/SMA50 | Volume >= 1.0 x VolMA10,Volume >= 1.0 x VolMA10,True,10.0,1.0,MA10_50_VOLMA10_1p0_Signal,2025-07-21,2026-01-20,2026-01-21,2026-04-21,1,0,0.0,0.0
HEXA,HEXA.JK,Industri,1,MA Crossover,SMA10/SMA50 | No Volume Filter,No Volume Filter,False,,,MA10_50_NOVOL_Signal,2024-10-21,2025-04-20,2025-04-21,2025-07-21,1,1,100.0,100.0
HEXA,HEXA.JK,Industri,1,MA Crossover,SMA10/SMA50 | Volume >= 0.8 x VolMA20,Volume >= 0.8 x VolMA20,True,20.0,0.8,MA10_50_VOLMA20_0p8_Signal,2024-10-21,2025-04-20,2025-04-21,2025-07-21,0,0,0.0,0.0
HEXA,HEXA.JK,Industri,1,MA Crossover,SMA10/SMA50 | Volume >= 0.9 x VolMA20,Volume >= 0.9 x VolMA20,True,20.0,0.9,MA10_50_VOLMA20_0p9_Signal,2024-10-21,2025-04-20,2025-04-21,2025-07-21,0,0,0.0,0.0
HEXA,HEXA.JK,Industri,1,MA Crossover,SMA10/SMA50 | Volume >= 1.0 x VolMA20,Volume >= 1.0 x VolMA20,True,20.0,1.0,MA10_50_VOLMA20_1p0_Signal,2024-10-21,2025-04-20,2025-04-21,2025-07-21,0,0,0.0,0.0
HEXA,HEXA.JK,Industri,1,MA Crossover,SMA10/SMA50 | Volume >= 0.8 x VolMA10,Volume >= 0.8 x VolMA10,True,10.0,0.8,MA10_50_VOLMA10_0p8_Signal,2024-10-21,2025-04-20,2025-04-21,2025-07-21,1,1,100.0,100.0
HEXA,HEXA.JK,Industri,1,MA Crossover,SMA10/SMA50 | Volume >= 0.9 x VolMA10,Volume >= 0.9 x VolMA10,True,10.0,0.9,MA10_50_VOLMA10_0p9_Signal,2024-10-21,2025-04-20,2025-04-21,2025-07-21,1,1,100.0,100.0
HEXA,HEXA.JK,Industri,1,MA Crossover,SMA10/SMA50 | Volume >= 1.0 x VolMA10,Volume >= 1.0 x VolMA10,True,10.0,1.0,MA10_50_VOLMA10_1p0_Signal,2024-10-21,2025-04-20,2025-04-21,2025-07-21,0,0,0.0,0.0
HEXA,HEXA.JK,Industri,2,MA Crossover,SMA10/SMA50 | No Volume Filter,No Volume Filter,False,,,MA10_50_NOVOL_Signal,2025-01-21,2025-07-20,2025-07-21,2025-10-21,1,1,100.0,100.0
HEXA,HEXA.JK,Industri,2,MA Crossover,SMA10/SMA50 | Volume >= 0.8 x VolMA20,Volume >= 0.8 x VolMA20,True,20.0,0.8,MA10_50_VOLMA20_0p8_Signal,2025-01-21,2025-07-20,2025-07-21,2025-10-21,1,1,100.0,100.0
HEXA,HEXA.JK,Industri,2,MA Crossover,SMA10/SMA50 | Volume >= 0.9 x VolMA20,Volume >= 0.9 x VolMA20,True,20.0,0.9,MA10_50_VOLMA20_0p9_Signal,2025-01-21,2025-07-20,2025-07-21,2025-10-21,1,1,100.0,100.0
HEXA,HEXA.JK,Industri,2,MA Crossover,SMA10/SMA50 | Volume >= 1.0 x VolMA20,Volume >= 1.0 x VolMA20,True,20.0,1.0,MA10_50_VOLMA20_1p0_Signal,2025-01-21,2025-07-20,2025-07-21,2025-10-21,1,1,100.0,100.0
HEXA,HEXA.JK,Industri,2,MA Crossover,SMA10/SMA50 | Volume >= 0.8 x VolMA10,Volume >= 0.8 x VolMA10,True,10.0,0.8,MA10_50_VOLMA10_0p8_Signal,2025-01-21,2025-07-20,2025-07-21,2025-10-21,1,1,100.0,100.0
HEXA,HEXA.JK,Industri,2,MA Crossover,SMA10/SMA50 | Volume >= 0.9 x VolMA10,Volume >= 0.9 x VolMA10,True,10.0,0.9,MA10_50_VOLMA10_0p9_Signal,2025-01-21,2025-07-20,2025-07-21,2025-10-21,1,1,100.0,100.0
HEXA,HEXA.JK,Industri,2,MA Crossover,SMA10/SMA50 | Volume >= 1.0 x VolMA10,Volume >= 1.0 x VolMA10,True,10.0,1.0,MA10_50_VOLMA10_1p0_Signal,2025-01-21,2025-07-20,2025-07-21,2025-10-21,1,1,100.0,100.0
HEXA,HEXA.JK,Industri,3,MA Crossover,SMA10/SMA50 | No Volume Filter,No Volume Filter,False,,,MA10_50_NOVOL_Signal,2025-04-21,2025-10-20,2025-10-21,2026-01-21,0,0,0.0,0.0
HEXA,HEXA.JK,Industri,3,MA Crossover,SMA10/SMA50 | Volume >= 0.8 x VolMA20,Volume >= 0.8 x VolMA20,True,20.0,0.8,MA10_50_VOLMA20_0p8_Signal,2025-04-21,2025-10-20,2025-10-21,2026-01-21,0,0,0.0,0.0
HEXA,HEXA.JK,Industri,3,MA Crossover,SMA10/SMA50 | Volume >= 0.9 x VolMA20,Volume >= 0.9 x VolMA20,True,20.0,0.9,MA10_50_VOLMA20_0p9_Signal,2025-04-21,2025-10-20,2025-10-21,2026-01-21,0,0,0.0,0.0
HEXA,HEXA.JK,Industri,3,MA Crossover,SMA10/SMA50 | Volume >= 1.0 x VolMA20,Volume >= 1.0 x VolMA20,True,20.0,1.0,MA10_50_VOLMA20_1p0_Signal,2025-04-21,2025-10-20,2025-10-21,2026-01-21,0,0,0.0,0.0
HEXA,HEXA.JK,Industri,3,MA Crossover,SMA10/SMA50 | Volume >= 0.8 x VolMA10,Volume >= 0.8 x VolMA10,True,10.0,0.8,MA10_50_VOLMA10_0p8_Signal,2025-04-21,2025-10-20,2025-10-21,2026-01-21,0,0,0.0,0.0
HEXA,HEXA.JK,Industri,3,MA Crossover,SMA10/SMA50 | Volume >= 0.9 x VolMA10,Volume >= 0.9 x VolMA10,True,10.0,0.9,MA10_50_VOLMA10_0p9_Signal,2025-04-21,2025-10-20,2025-10-21,2026-01-21,0,0,0.0,0.0
HEXA,HEXA.JK,Industri,3,MA Crossover,SMA10/SMA50 | Volume >= 1.0 x VolMA10,Volume >= 1.0 x VolMA10,True,10.0,1.0,MA10_50_VOLMA10_1p0_Signal,2025-04-21,2025-10-20,2025-10-21,2026-01-21,0,0,0.0,0.0
HEXA,HEXA.JK,Industri,4,MA Crossover,SMA10/SMA50 | No Volume Filter,No Volume Filter,False,,,MA10_50_NOVOL_Signal,2025-07-21,2026-01-20,2026-01-21,2026-04-21,3,2,66.66666666666666,66.66666666666666
HEXA,HEXA.JK,Industri,4,MA Crossover,SMA10/SMA50 | Volume >= 0.8 x VolMA20,Volume >= 0.8 x VolMA20,True,20.0,0.8,MA10_50_VOLMA20_0p8_Signal,2025-07-21,2026-01-20,2026-01-21,2026-04-21,2,1,50.0,50.0
HEXA,HEXA.JK,Industri,4,MA Crossover,SMA10/SMA50 | Volume >= 0.9 x VolMA20,Volume >= 0.9 x VolMA20,True,20.0,0.9,MA10_50_VOLMA20_0p9_Signal,2025-07-21,2026-01-20,2026-01-21,2026-04-21,2,1,50.0,50.0
HEXA,HEXA.JK,Industri,4,MA Crossover,SMA10/SMA50 | Volume >= 1.0 x VolMA20,Volume >= 1.0 x VolMA20,True,20.0,1.0,MA10_50_VOLMA20_1p0_Signal,2025-07-21,2026-01-20,2026-01-21,2026-04-21,2,1,50.0,50.0
HEXA,HEXA.JK,Industri,4,MA Crossover,SMA10/SMA50 | Volume >= 0.8 x VolMA10,Volume >= 0.8 x VolMA10,True,10.0,0.8,MA10_50_VOLMA10_0p8_Signal,2025-07-21,2026-01-20,2026-01-21,2026-04-21,2,1,50.0,50.0
HEXA,HEXA.JK,Industri,4,MA Crossover,SMA10/SMA50 | Volume >= 0.9 x VolMA10,Volume >= 0.9 x VolMA10,True,10.0,0.9,MA10_50_VOLMA10_0p9_Signal,2025-07-21,2026-01-20,2026-01-21,2026-04-21,2,1,50.0,50.0
HEXA,HEXA.JK,Industri,4,MA Crossover,SMA10/SMA50 | Volume >= 1.0 x VolMA10,Volume >= 1.0 x VolMA10,True,10.0,1.0,MA10_50_VOLMA10_1p0_Signal,2025-07-21,2026-01-20,2026-01-21,2026-04-21,2,1,50.0,50.0
VISI,VISI.JK,Industri,1,MA Crossover,SMA10/SMA50 | No Volume Filter,No Volume Filter,False,,,MA10_50_NOVOL_Signal,2024-10-21,2025-04-20,2025-04-21,2025-07-21,1,1,100.0,100.0
VISI,VISI.JK,Industri,1,MA Crossover,SMA10/SMA50 | Volume >= 0.8 x VolMA20,Volume >= 0.8 x VolMA20,True,20.0,0.8,MA10_50_VOLMA20_0p8_Signal,2024-10-21,2025-04-20,2025-04-21,2025-07-21,0,0,0.0,0.0
VISI,VISI.JK,Industri,1,MA Crossover,SMA10/SMA50 | Volume >= 0.9 x VolMA20,Volume >= 0.9 x VolMA20,True,20.0,0.9,MA10_50_VOLMA20_0p9_Signal,2024-10-21,2025-04-20,2025-04-21,2025-07-21,0,0,0.0,0.0
VISI,VISI.JK,Industri,1,MA Crossover,SMA10/SMA50 | Volume >= 1.0 x VolMA20,Volume >= 1.0 x VolMA20,True,20.0,1.0,MA10_50_VOLMA20_1p0_Signal,2024-10-21,2025-04-20,2025-04-21,2025-07-21,0,0,0.0,0.0
VISI,VISI.JK,Industri,1,MA Crossover,SMA10/SMA50 | Volume >= 0.8 x VolMA10,Volume >= 0.8 x VolMA10,True,10.0,0.8,MA10_50_VOLMA10_0p8_Signal,2024-10-21,2025-04-20,2025-04-21,2025-07-21,1,1,100.0,100.0
VISI,VISI.JK,Industri,1,MA Crossover,SMA10/SMA50 | Volume >= 0.9 x VolMA10,Volume >= 0.9 x VolMA10,True,10.0,0.9,MA10_50_VOLMA10_0p9_Signal,2024-10-21,2025-04-20,2025-04-21,2025-07-21,1,1,100.0,100.0
VISI,VISI.JK,Industri,1,MA Crossover,SMA10/SMA50 | Volume >= 1.0 x VolMA10,Volume >= 1.0 x VolMA10,True,10.0,1.0,MA10_50_VOLMA10_1p0_Signal,2024-10-21,2025-04-20,2025-04-21,2025-07-21,0,0,0.0,0.0
VISI,VISI.JK,Industri,2,MA Crossover,SMA10/SMA50 | No Volume Filter,No Volume Filter,False,,,MA10_50_NOVOL_Signal,2025-01-21,2025-07-20,2025-07-21,2025-10-21,3,1,33.33333333333333,33.33333333333333
VISI,VISI.JK,Industri,2,MA Crossover,SMA10/SMA50 | Volume >= 0.8 x VolMA20,Volume >= 0.8 x VolMA20,True,20.0,0.8,MA10_50_VOLMA20_0p8_Signal,2025-01-21,2025-07-20,2025-07-21,2025-10-21,3,1,33.33333333333333,33.33333333333333
VISI,VISI.JK,Industri,2,MA Crossover,SMA10/SMA50 | Volume >= 0.9 x VolMA20,Volume >= 0.9 x VolMA20,True,20.0,0.9,MA10_50_VOLMA20_0p9_Signal,2025-01-21,2025-07-20,2025-07-21,2025-10-21,3,1,33.33333333333333,33.33333333333333
VISI,VISI.JK,Industri,2,MA Crossover,SMA10/SMA50 | Volume >= 1.0 x VolMA20,Volume >= 1.0 x VolMA20,True,20.0,1.0,MA10_50_VOLMA20_1p0_Signal,2025-01-21,2025-07-20,2025-07-21,2025-10-21,3,1,33.33333333333333,33.33333333333333
VISI,VISI.JK,Industri,2,MA Crossover,SMA10/SMA50 | Volume >= 0.8 x VolMA10,Volume >= 0.8 x VolMA10,True,10.0,0.8,MA10_50_VOLMA10_0p8_Signal,2025-01-21,2025-07-20,2025-07-21,2025-10-21,3,1,33.33333333333333,33.33333333333333
VISI,VISI.JK,Industri,2,MA Crossover,SMA10/SMA50 | Volume >= 0.9 x VolMA10,Volume >= 0.9 x VolMA10,True,10.0,0.9,MA10_50_VOLMA10_0p9_Signal,2025-01-21,2025-07-20,2025-07-21,2025-10-21,3,1,33.33333333333333,33.33333333333333
VISI,VISI.JK,Industri,2,MA Crossover,SMA10/SMA50 | Volume >= 1.0 x VolMA10,Volume >= 1.0 x VolMA10,True,10.0,1.0,MA10_50_VOLMA10_1p0_Signal,2025-01-21,2025-07-20,2025-07-21,2025-10-21,2,0,0.0,0.0
VISI,VISI.JK,Industri,3,MA Crossover,SMA10/SMA50 | No Volume Filter,No Volume Filter,False,,,MA10_50_NOVOL_Signal,2025-04-21,2025-10-20,2025-10-21,2026-01-21,2,2,100.0,100.0
VISI,VISI.JK,Industri,3,MA Crossover,SMA10/SMA50 | Volume >= 0.8 x VolMA20,Volume >= 0.8 x VolMA20,True,20.0,0.8,MA10_50_VOLMA20_0p8_Signal,2025-04-21,2025-10-20,2025-10-21,2026-01-21,1,1,100.0,100.0
VISI,VISI.JK,Industri,3,MA Crossover,SMA10/SMA50 | Volume >= 0.9 x VolMA20,Volume >= 0.9 x VolMA20,True,20.0,0.9,MA10_50_VOLMA20_0p9_Signal,2025-04-21,2025-10-20,2025-10-21,2026-01-21,1,1,100.0,100.0
VISI,VISI.JK,Industri,3,MA Crossover,SMA10/SMA50 | Volume >= 1.0 x VolMA20,Volume >= 1.0 x VolMA20,True,20.0,1.0,MA10_50_VOLMA20_1p0_Signal,2025-04-21,2025-10-20,2025-10-21,2026-01-21,1,1,100.0,100.0
VISI,VISI.JK,Industri,3,MA Crossover,SMA10/SMA50 | Volume >= 0.8 x VolMA10,Volume >= 0.8 x VolMA10,True,10.0,0.8,MA10_50_VOLMA10_0p8_Signal,2025-04-21,2025-10-20,2025-10-21,2026-01-21,1,1,100.0,100.0
